entity_type,entity_id,address_raw,addr_line,locality,region,postal_code,country_iso3,source_accession,address_type,parse_confidence,addr_id
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
